operation,mean_time_ms,throughput_mbps,samples
file_write_1KB,0.052566,18.58,1000
file_write_4KB,0.052621,74.23,1000
file_write_64KB,0.052641,1187.28,1000
file_write_1024KB,0.052683,18981.27,1000
large_file_write_10MB,0.156700,63815.92,10
large_file_write_100MB,0.153988,649398.30,10
large_file_write_1024MB,0.154355,6634027.77,10
directory_listing,0.052648,N/A,50000
file_creation,0.071452,N/A,10000
attribute_access,0.052621,N/A,100000
grpc_metadata_call,0.100133,N/A,10000
chunk_transfer_0MB,0.052317,1194.64,100
chunk_transfer_1MB,0.059468,16815.69,100
chunk_transfer_64MB,0.590058,108463.80,10
cross_region_replication_1MB,25.141584,39.77,100
raft_consensus,0.153751,N/A,10000
concurrent_clients_10,0.052648,N/A,1000
concurrent_clients_50,0.052631,N/A,5000
concurrent_clients_100,0.052632,N/A,10000
concurrent_clients_500,0.052660,N/A,50000
concurrent_clients_1000,0.052627,N/A,100000
erasure_coding_8+4,0.066052,968932.10,50
erasure_coding_6+3,0.065346,979388.76,50
erasure_coding_4+2,0.065453,977796.38,50
